Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
Population density (people per sq. km of land area),"EN.POP.DNST","Malta","MLT","1106.78125","1219.021875","1420.328125","1459.70625","1512.196875","1574.725","1610.90625","1619.21875","1659.728125","1727.334375","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Marshall Islands","MHL","..","281.7","265.05","258.494444444444","251.583333333333","244.483333333333","237.255555555556","229.816666666667","222.65","215.705555555556","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Mauritania","MRT","1.89374017657902","2.53559813718832","3.96493354031241","4.08518482584651","4.20848452508004","4.33463471427185","4.46311341806539","4.59384301930727","4.73041331134181","4.87284466867178","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Mauritius","MUS","521.564039408867","584.666502463054","632.822734101152","633.393590385578","633.739108662994","633.943415122684","633.957936905358","634.118177265899","632.209814722083","625.261392088132","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Mexico","MEX","42.6040638905322","50.734613544587","62.8881149206513","63.4790282671879","64.0827752771419","64.6945559299365","65.227528485815","65.664316469045","66.1607124668844","66.7402757272564","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Micronesia, Fed. Sts.","FSM","..","160.062857142857","155.821428571429","156.401428571429","157.012857142857","157.545714285714","158.451428571429","159.462857142857","160.162857142857","160.9","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Moldova","MDA","..","101.844482362364","97.614165825121","95.9093883802694","94.2543946689506","92.756093569939","91.7473260542588","90.3612977338393","88.05425357802","85.437584732506","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Monaco","MCO","14976.8130241737","16011.3468179576","18389.7385298471","18588.061174149","18822.8909718796","18800.6906758757","18771.583621115","18487.0441458733","18680.9021113244","18692.8982725528","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Mongolia","MNG","1.35624754831167","1.54338839734181","1.98352563105577","2.02209412791248","2.06015649331677","2.09835043390369","2.13623721809195","2.17253662423347","2.2046394565685","2.23365125312889","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Montenegro","MNE","..","..","46.4946468401487","46.5414126394052","46.5753159851301","46.5987360594796","46.5866171003717","46.4723420074349","46.3636431226766","46.3590334572491","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Morocco","MAR","54.6169639256106","63.6868362088281","78.4751445216222","79.4227918440511","80.3041900067219","81.1357786242438","81.9722339233699","82.8017969975353","83.6411920233027","84.5003473000224","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Mozambique","MOZ","16.6516658612884","23.0545703095196","34.7632251583204","35.8177891095908","36.9015539561026","38.0024670006867","39.1460718736489","40.3212187492052","41.5273099519316","42.7721457819375","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Myanmar","MMR","60.9254995868654","69.3007941365486","78.8867551089188","79.5020114898506","80.0861758847863","80.6507017006282","81.2302112859485","81.7980020531049","82.3644215300228","82.9420656687147","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Namibia","NAM","1.66320858992579","2.20899925907032","2.96276281747622","3.04492098774429","3.13052144444849","3.21939292351419","3.31446027523716","3.41380072635402","3.50989566252475","3.59909023551847","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Nauru","NRU","481.1","508.4","557.5","566.2","573.85","579.35","582.15","585.45","590.05","593.75","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Nepal","NPL","136.535475524476","171.234802929892","195.015430763865","195.404659923265","195.882029996512","198.214607603767","202.068880362749","205.61569584932","207.292891524241","207.147638646669","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Netherlands","NLD","442.876481042654","471.727280805687","505.800831600832","508.8","511.779744579745","515.143272943273","518.013068013068","520.731927531928","525.719691119691","530.950905850906","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","New Caledonia","NCL","9.65295404814004","12.2044857768053","15.5045404814004","15.5112691466083","15.5109956236324","15.5145514223195","15.5457330415755","15.6025164113786","15.7069474835886","15.8572210065646","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","New Zealand","NZL","12.6459306520831","14.6507918423151","17.9032319319433","18.2811135163875","18.6115225399719","18.8762295393263","19.2639854164293","19.3103186358285","19.299305001709","19.7485853176864","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Nicaragua","NIC","34.5899867043377","41.7370201096892","51.7921389396709","52.4865464517201","53.1833139438258","53.8778211733422","54.5559830480306","55.2163952135616","55.9303141100216","56.702783779292","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Niger","NER","6.54145338280572","9.08631088655562","16.3304278834768","16.9222752032841","17.5164356201153","18.1161735217494","18.7239385805637","19.3432857030078","19.9826107207705","20.6519831057077","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Nigeria","NGA","106.636060695895","138.764445469218","214.591719094832","219.873929751749","225.017024056568","230.009377779242","234.961824609945","239.939047179859","245.013445765671","250.20910328623","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","North Macedonia","MKD","..","79.6834447502949","75.5873513084853","75.2837827121332","74.9028945281523","74.3957969865186","73.5973037272006","72.8435368754956","72.6293417922284","72.474861221253","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Northern Mariana Islands","MNP","..","148.6","110.376086956522","108.60652173913","106.689130434783","104.628260869565","103.321739130435","102.128260869565","100.169565217391","98.1369565217391","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Norway","NOR","11.6127109548685","12.2957995203207","14.3354243797401","14.452576255125","14.5488896436123","14.6479975020132","14.7672152298338","14.8470090866665","14.9809948664452","15.1524995195871","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Oman","OMN","5.69936672051696","7.37360581583199","14.1870016155089","14.6604071082391","14.8558222940226","14.8343812600969","14.612268174475","14.5409499192246","15.2834442649435","16.3142778675283","..",".."
